"gene_symbol","n_diseases","mean_score","max_score","ensembl_id","entrez_id","uniprot_ids","protein_classes","diseases","total_pmids","mean_evidence","years_studied"
"BORCS7",1,0.6,0.6,"ENSG00000166275",119032,"A0A0B4J1R7; Q96B45","","Schizophrenias",1,0.333333333333333,"2016-2016"
"BRCA1",2,0.6,0.7,"ENSG00000012048",672,"A0A9Y1QQK3; P38398","Enzyme","Depression; Schizophrenias",6,0.892857142857143,"1998-2013"
"CACNA1H",1,0.6,0.6,"ENSG00000196557",8912,"A0A1W2PQW2; B3KQH9; O95180","Ion channel","Childhood autism",1,1,"2006-2006"
"CACNG2",1,0.6,0.6,"ENSG00000166862",10369,"Q9Y698","Ion channel","Schizophrenias",2,0.6,"2008-2013"
"CACNG8",1,0.6,0.6,"ENSG00000142408",59283,"Q8WXS5","Ion channel","Schizophrenias",1,1,"2013-2013"
"CAMKK2",1,0.6,0.6,"ENSG00000110931",10645,"Q96RR4","Kinase","Schizophrenias",1,1,"2014-2014"
"CASP3",1,0.6,0.6,"ENSG00000164305",836,"P42574","Enzyme","Schizophrenias",1,0.833333333333333,"2010-2010"
"CCKAR",2,0.6,0.7,"ENSG00000163394",886,"P32238","G-protein coupled receptor","Schizophrenias; Bipolar Disorders",5,0.95,"2004-2012"
"CCND1",1,0.6,0.6,"ENSG00000110092",595,"P24385; Q6FI00","Enzyme modulator","Schizophrenias",1,1,"2008-2008"
"CCND2",1,0.6,0.6,"ENSG00000118971",894,"P30279","Enzyme modulator","Schizophrenias",1,1,"2007-2007"
"CCR5",1,0.6,0.6,"ENSG00000160791",1234,"Q38L21; P51681","G-protein coupled receptor","Schizophrenias",1,1,"2006-2006"
"CD163",1,0.6,0.6,"ENSG00000177575",9332,"Q86VB7","Enzyme","Schizophrenias",1,1,"2013-2013"
"CDC42SE2",1,0.6,0.6,"ENSG00000158985",56990,"Q9NRR3","","Schizophrenias",2,1,"2006-2011"
"CDH17",1,0.6,0.6,"ENSG00000079112",1015,"Q12864","","Bipolar Disorders",2,0.833333333333333,"2006-2008"
"CHGA",1,0.6,0.6,"ENSG00000100604",1113,"Q86T07; P10645; G5E968","","Schizophrenias",1,0.666666666666667,"2006-2006"
"CHGB",1,0.6,0.6,"ENSG00000089199",1114,"P05060","","Schizophrenias",3,0.8,"2002-2007"
"CHMP1B",1,0.6,0.6,"ENSG00000255112",57132,"Q7LBR1","Transporter","Bipolar Disorders",1,0.5,"2007-2007"
"CHUK",1,0.6,0.6,"ENSG00000213341",1147,"O15111","Kinase","Childhood autism",1,1,"2011-2011"
"CLU",1,0.6,0.6,"ENSG00000120885",1191,"P10909","","Schizophrenias",1,0.666666666666667,"2010-2010"
"CP",2,0.6,0.6,"ENSG00000047457",1356,"A5PL27; P00450","","Childhood autism; Schizophrenias",2,0.666666666666667,"2004-2006"
"CRMP1",1,0.6,0.6,"ENSG00000072832",1400,"B3KT07; B3KV96; X5DNI1; Q96I11; Q14194; E9PD68","Enzyme","Schizophrenias",1,1,"2012-2012"
"CRY2",2,0.6,0.6,"ENSG00000121671",1408,"A0A0D2X7Z3; Q49AN0; A2I2P1","Enzyme","Depression; Bipolar Disorders",7,0.8375,"2006-2012"
"CSF2RB",1,0.6,0.6,"ENSG00000100368",1439,"Q6NSJ8; P32927","Receptor","Schizophrenias",3,1,"2008-2011"
"CTLA4",2,0.6,0.6,"ENSG00000163599",1493,"P16410","","Bipolar Disorders; Schizophrenias",5,0.875,"2002-2013"
"CTRL",1,0.6,0.6,"ENSG00000141086",1506,"P40313","Enzyme","Schizophrenias",1,1,"2014-2014"
"CTXN3",1,0.6,0.6,"ENSG00000205279",613212,"Q4LDR2","","Schizophrenias",1,1,"2012-2012"
"CUX2",1,0.6,0.6,"ENSG00000111249",23316,"O14529","Transcription factor","Bipolar Disorders",1,0.666666666666667,"2005-2005"
"CYP2E1",1,0.6,0.6,"ENSG00000130649",1571,"P05181","","Schizophrenias",1,0.5,"2012-2012"
"DBNL",1,0.6,0.6,"ENSG00000136279",28988,"Q9UJU6; B4DUF9","Cellular structure","Bipolar Disorders",1,1,"2012-2012"
"DDHD2",1,0.6,0.6,"ENSG00000085788",23259,"B3KPM6; O94830","Enzyme","Schizophrenias",1,1,"2021-2021"
"DDX3X",1,0.6,0.6,"ENSG00000215301",1654,"A0A2R8YFS5; O00571","","Childhood autism",1,1,"2021-2021"
"DGCR6",1,0.6,0.6,"ENSG00000183628",8214,"X5D7D2; Q14129","","Schizophrenias",1,1,"2002-2002"
"DHFR",1,0.6,0.6,"ENSG00000228716",1719,"B4DM58; P00374; B0YJ76","Enzyme","Childhood autism",1,1,"2007-2007"
"DICER1",1,0.6,0.6,"ENSG00000100697",23405,"Q9UPY3","Enzyme","Schizophrenias",2,1,"2013-2013"
"DIO3",1,0.6,0.6,"ENSG00000197406",1735,"Q86TU3; P55073","","Schizophrenias",1,1,"2012-2012"
"DIPK2A",1,0.6,0.6,"ENSG00000181744",205428,"B3KTD4; Q8NDZ4","","Childhood autism",1,1,"2008-2008"
"DLG3",2,0.6,0.6,"ENSG00000082458",1741,"Q92796; Q59FY1","","Schizophrenias; Bipolar Disorders",6,0.775,"2004-2008"
"DLGAP1",1,0.6,0.6,"ENSG00000170579",9229,"O14490; B7Z2J5; Q6IS01; A8MXQ8; A0A0A0MTP4","Receptor","Schizophrenias",1,1,"2003-2003"
"DLX2",1,0.6,0.6,"ENSG00000115844",1746,"X5D7D8; Q53QU7; Q07687","Transcription factor","Childhood autism",1,1,"2009-2009"
"DNAJB1",1,0.6,0.6,"ENSG00000132002",3337,"P25685; Q6FHS4","","Bipolar Disorders",2,1,"2004-2004"
"DNM1",1,0.6,0.6,"ENSG00000106976",1759,"Q05193; B4DK06; B7ZAC0","Enzyme modulator","Schizophrenias",1,1,"2013-2013"
"DOCK4",2,0.6,0.6,"ENSG00000128512",9732,"Q8N1I0","","Schizophrenias; Childhood autism",3,0.857142857142857,"2010-2013"
"DPP10",1,0.6,0.6,"ENSG00000175497",57628,"B4DKB5; Q8N608; Q0GLB9; Q0GLB7; B2RCJ8","Enzyme","Schizophrenias",2,1,"2011-2018"
"DSCAM",1,0.6,0.6,"ENSG00000171587",1826,"O60469","","Bipolar Disorders",1,1,"2008-2008"
"EFNB2",1,0.6,0.6,"ENSG00000125266",1948,"P52799","Signaling","Schizophrenias",1,1,"2010-2010"
"EGF",1,0.6,0.6,"ENSG00000138798",1950,"P01133","","Childhood autism",1,0.833333333333333,"2007-2007"
"EGR4",1,0.6,0.6,"ENSG00000135625",1961,"Q05215; B7ZKU3","Nucleic acid binding","Schizophrenias",2,1,"2007-2012"
"ELAVL2",1,0.6,0.6,"ENSG00000107105",1993,"A0A0A0MRX1; Q12926","","Schizophrenias",1,1,"2011-2011"
"EMX2",1,0.6,0.6,"ENSG00000170370",2018,"Q04743","Transcription factor","Schizophrenias",1,1,"2007-2007"
"ERDA1",1,0.6,0.6,"",9030,"","","Bipolar Disorders",2,0.5,"2000-2002"
"ERVW-4",1,0.6,0.6,"",100616496,"","","Schizophrenias",2,1,"2001-2006"
"ESS2",1,0.6,0.6,"ENSG00000100056",8220,"Q96DF8; F8WEF8","","Schizophrenias",2,1,"2002-2006"
"ETNPPL",1,0.6,0.6,"ENSG00000164089",64850,"E7ENR6; Q8TBG4; B7Z224","","Schizophrenias",2,1,"2008-2012"
"F9",1,0.6,0.6,"ENSG00000101981",2158,"P00740","","Bipolar Disorders",3,0.75,"1987-1995"
"FAS",1,0.6,0.6,"ENSG00000026103",355,"K9J972; P25445; Q59FU8","","Schizophrenias",1,1,"2012-2012"
"FGFR2",3,0.6,0.65,"ENSG00000066468",2263,"A0A141AXF1; D2CGD1; S4R381; P21802","Kinase","Depression; Schizophrenias; Bipolar Disorders",5,1,"2003-2012"
"FXYD6",1,0.6,0.6,"ENSG00000137726",53826,"Q9H0Q3","Ion channel","Schizophrenias",2,0.5,"2007-2011"
"G6PD",1,0.6,0.6,"ENSG00000160211",2539,"P11413; A0A384NL00","Enzyme","Bipolar Disorders",5,1,"1990-2007"
"GABRA6",2,0.6,0.6,"ENSG00000145863",2559,"Q16445","Ion channel","Depression; Schizophrenias",2,0.65,"2006-2008"
"GABRG1",1,0.6,0.6,"ENSG00000163285",2565,"Q8N1C3","Ion channel","Bipolar Disorders",1,1,"2009-2009"
"GC",1,0.6,0.6,"ENSG00000145321",2638,"P02774","","Schizophrenias",1,1,"2015-2015"
"GCLC",1,0.6,0.6,"ENSG00000001084",2729,"E1CEI4; Q14TF0; P48506","Enzyme","Schizophrenias",1,1,"2007-2007"
"GLYAT",1,0.6,0.6,"ENSG00000149124",10249,"A0A384P5E3; Q6IB77","","Bipolar Disorders",1,1,"2012-2012"
"GNAL",2,0.6,0.6,"ENSG00000141404",2774,"P38405; A8K1Y9","Enzyme modulator","Schizophrenias; Bipolar Disorders",2,1,"2000-2001"
"GNAO1",1,0.6,0.6,"ENSG00000087258",2775,"Q8N6I9; B3KP89; Q6AWC5; P09471","Enzyme modulator","Schizophrenias",1,1,"2004-2004"
"GPHN",1,0.6,0.6,"ENSG00000171723",10243,"Q9NQX3","","Schizophrenias",0,1,"NA-NA"
"GPR50",2,0.6,0.6,"ENSG00000102195",9248,"Q13585","G-protein coupled receptor","Bipolar Disorders; Schizophrenias",6,1,"2005-2010"
"GPRC5D",1,0.6,0.6,"ENSG00000111291",55507,"Q9NZD1","G-protein coupled receptor","Bipolar Disorders",3,1,"2005-2010"
"GRIK1",2,0.6,0.6,"ENSG00000171189",2897,"P39086; E9PD61; E7EPY9; B7Z3V7; B7Z256; E7ENK3","Ion channel","Bipolar Disorders; Schizophrenias",2,0.75,"2005-2009"
"GRIK5",2,0.6,0.6,"ENSG00000105737",2901,"Q16478","Ion channel","Bipolar Disorders; Schizophrenias",2,0.833333333333333,"2008-2009"
"GSN",1,0.6,0.6,"ENSG00000148180",2934,"A0A384MEF1; B7Z4U6; A0A0A0MS51; A0A0A0MT01; P06396","Cellular structure","Schizophrenias",1,1,"2004-2004"
"GSTA1",1,0.6,0.6,"ENSG00000243955",2938,"B7Z1F9; A0A140VJK4; P08263","","Schizophrenias",2,1,"2011-2012"
"GSTM2",1,0.6,0.6,"ENSG00000213366",2946,"Q0D2I8; P28161; A0A384P5E9","","Schizophrenias",1,0.8,"2011-2011"
"GSTP1",2,0.6,0.6,"ENSG00000084207",2950,"P09211; V9HWE9","","Schizophrenias; Childhood autism",2,0.625,"2007-2014"
"GSTT2",1,0.6,0.6,"ENSG00000099984",2953,"P0CG29","","Schizophrenias",1,1,"2010-2010"
"H2AX",1,0.6,0.6,"ENSG00000188486",3014,"P16104","Nucleic acid binding","Schizophrenias",1,1,"2012-2012"
"HCAR3",2,0.6,0.6,"ENSG00000255398",8843,"P49019","G-protein coupled receptor","Bipolar Disorders; Schizophrenias",3,1,"2008-2009"
"HCG9",1,0.6,0.6,"ENSG00000204625",10255,"","","Bipolar Disorders",2,1,"2012-2014"
"HDAC3",1,0.6,0.6,"ENSG00000171720",8841,"O15379","Epigenetic regulator","Schizophrenias",4,0.833333333333333,"2008-2014"
"HIP1R",1,0.6,0.6,"ENSG00000130787",9026,"O75146; B3KQW8; B4DPL0","Cellular structure","Bipolar Disorders",2,1,"2004-2007"
"HK1",1,0.6,0.6,"ENSG00000156515",3098,"Q59FD4; P78542; B3KXY9; A0A994J753; P19367; A8K7J7","Kinase","Schizophrenias",1,1,"2014-2014"
"HLA-E",2,0.6,0.6,"ENSG00000204592",3133,"A0A4E9D3W4; A8K8M6; P13747; O19682","","Schizophrenias; Bipolar Disorders",5,1,"2011-2014"
"HLA-G",1,0.6,0.6,"ENSG00000204632",3135,"Q31611; P17693; Q6DU14","","Bipolar Disorders",1,1,"2013-2013"
"HSP90B1",1,0.6,0.6,"ENSG00000166598",7184,"V9HWP2; P14625","Chaperone","Bipolar Disorders",3,1,"2007-2009"
"HSPA4",1,0.6,0.6,"ENSG00000170606",3308,"P34932","","Bipolar Disorders",2,1,"2009-2013"
"HSPA5",1,0.6,0.6,"ENSG00000044574",3309,"V9HWB4; P11021","","Bipolar Disorders",1,1,"2005-2005"
"HSPA9",1,0.6,0.6,"ENSG00000113013",3313,"P38646; A0A384P5G6","","Schizophrenias",1,1,"2013-2013"
"HTR3D",1,0.6,0.6,"ENSG00000186090",200909,"F6WC43; Q70Z44","Ion channel","Schizophrenias",1,1,"2010-2010"
"HTR3E",1,0.6,0.6,"ENSG00000186038",285242,"A5X5Y0","Ion channel","Schizophrenias",1,1,"2009-2009"
"ICAM1",1,0.6,0.6,"ENSG00000090339",3383,"P05362; A0A384MEK5","","Schizophrenias",1,0.888888888888889,"2005-2005"
"IDE",1,0.6,0.6,"ENSG00000119912",3416,"B3KSB8; A0A7I2V2P6; P14735; A0A3B3ISG5","Enzyme","Schizophrenias",1,1,"2009-2009"
"IFNA1",1,0.6,0.6,"ENSG00000197919",3439,"L0N195; P01562","","Bipolar Disorders",1,1,"2015-2015"
"IGFBP2",1,0.6,0.6,"ENSG00000115457",3485,"P18065; C9JMY1","Enzyme modulator","Bipolar Disorders",2,0.75,"2005-2007"
"IL10RA",1,0.6,0.6,"ENSG00000110324",3587,"Q13651","Receptor","Schizophrenias",1,1,"2007-2007"
"IL13",1,0.6,0.6,"ENSG00000169194",3596,"P35225","","Childhood autism",1,1,"2006-2006"
"IL3",1,0.6,0.6,"ENSG00000164399",3562,"P08700","","Schizophrenias",5,0.875,"2007-2009"
"IL3RA",1,0.6,0.6,"ENSG00000292332; ENSG00000185291",3563,"P26951","Signaling","Schizophrenias",3,1,"2007-2009"
"IMMP2L",1,0.6,0.6,"ENSG00000184903",83943,"Q96T52; A4D0S9","","Childhood autism",1,0.857142857142857,"2010-2010"
"IPO5",1,0.6,0.6,"ENSG00000065150",3843,"O00410; Q9BVS9; B3KWG6","Enzyme modulator","Schizophrenias",4,1,"2004-2011"
"ITGA4",1,0.6,0.6,"ENSG00000115232",3676,"P13612","","Childhood autism",1,1,"2008-2008"
"ITIH4",1,0.6,0.6,"ENSG00000055955",3700,"B2RMS9; Q14624; B7ZKJ8","Enzyme modulator","Bipolar Disorders",3,1,"2011-2014"
"KCNB1",1,0.6,0.6,"ENSG00000158445",3745,"Q14721","Ion channel","Schizophrenias",1,1,"2016-2016"
"KCNQ2",2,0.6,0.6,"ENSG00000075043",3785,"O43526; Q53Y30","Ion channel","Schizophrenias; Bipolar Disorders",3,0.75,"2007-2013"
"KDR",1,0.6,0.6,"ENSG00000128052",3791,"P35968","Kinase","Schizophrenias",1,1,"2011-2011"
"KLK8",1,0.6,0.6,"ENSG00000129455",11202,"O60259; A0A0A0MQY9","Enzyme","Bipolar Disorders",1,1,"2008-2008"
"KPNA3",1,0.6,0.6,"ENSG00000102753",3839,"O00505","Transporter","Schizophrenias",3,1,"2005-2012"
"LGI1",1,0.6,0.6,"ENSG00000108231",9211,"A0A0S2Z4S7; A0A0S2Z4X3; O95970; A0A0S2Z5G1; A0A1B0GUD3","","Depression",1,1,"2010-2010"
"LHX6",1,0.6,0.6,"ENSG00000106852",26468,"Q9UPM6","Nucleic acid binding","Schizophrenias",2,0.6,"2012-2012"
"LIFR",1,0.6,0.6,"ENSG00000113594",3977,"P42702; A8K1Z4","Signaling","Schizophrenias",1,1,"2012-2012"
"LMAN2L",2,0.6,0.7,"ENSG00000114988",81562,"B4DVH1; Q9H0V9; B4DI83; B4E308","Transporter","Bipolar Disorders; Schizophrenias",3,0.928571428571429,"2014-2019"
"LMX1B",1,0.6,0.6,"ENSG00000136944",4010,"B7ZLH2; Q6ISE0; O60663","Nucleic acid binding","Schizophrenias",1,1,"2010-2010"
"LPL",1,0.6,0.6,"ENSG00000175445",4023,"A0A1B1RVA9; P06858","Enzyme","Schizophrenias",1,1,"2011-2011"
"LTA",1,0.6,0.6,"ENSG00000226979",4049,"P01374; Q5STV3","","Schizophrenias",1,1,"2003-2003"
"MACROD2",2,0.6,0.7,"ENSG00000172264",140733,"A1Z1Q3","","Childhood autism; Schizophrenias",6,1,"2010-2021"
"MAGI1",2,0.6,0.6,"ENSG00000151276",9223,"Q96QZ7","","Bipolar Disorders; Schizophrenias",3,1,"2012-2014"
"MAPK14",1,0.6,0.6,"ENSG00000112062",1432,"Q16539; B4E0K5; L7RSM2","Kinase","Schizophrenias",1,1,"2008-2008"
"MBD3",1,0.6,0.6,"ENSG00000071655",53615,"O95983","","Childhood autism",1,1,"2010-2010"
"MBD4",1,0.6,0.6,"ENSG00000129071",8930,"O95243","Enzyme","Childhood autism",1,1,"2010-2010"
"MC1R",1,0.6,0.6,"ENSG00000258839",4157,"Q1JUL4; Q01726","G-protein coupled receptor","Depression",1,1,"2011-2011"
"MC2R",1,0.6,0.6,"ENSG00000185231",4158,"Q01718","G-protein coupled receptor","Bipolar Disorders",2,1,"1995-1997"
"MICB",1,0.6,0.6,"ENSG00000204516",4277,"B7Z8M1; Q29980; F5H7Q8; A0A7D9H7X8; A0A0G2JHB5; B4DUT9","","Schizophrenias",1,1,"2007-2007"
"MIF",3,0.6,0.75,"ENSG00000240972",4282,"P14174; I4AY87","","Depression; Anxiety Disorder; Childhood autism",3,1,"2008-2011"
"MIR17",1,0.6,0.6,"ENSG00000284536",406952,"","","Schizophrenias",1,0.5,"2012-2012"
"MIR212",1,0.6,0.6,"ENSG00000267195",406994,"","","Bipolar Disorders",1,1,"2013-2013"
"MIR326",1,0.6,0.6,"ENSG00000199090",442900,"","","Schizophrenias",1,1,"2014-2014"
"MIR432",1,0.6,0.6,"ENSG00000272458",574451,"","","Schizophrenias",1,1,"2015-2015"
"MTNR1A",1,0.6,0.6,"ENSG00000168412",4543,"P48039","G-protein coupled receptor","Schizophrenias",1,1,"2011-2011"
"MYO9B",1,0.6,0.6,"ENSG00000099331",4650,"B0I1T6; Q8WVD2; Q13459; Q4LE74","","Schizophrenias",1,1,"2008-2008"
"NAPG",1,0.6,0.6,"ENSG00000134265",8774,"Q99747; Q6FHY4","","Bipolar Disorders",3,1,"2006-2009"
"NCSTN",1,0.6,0.6,"ENSG00000162736",23385,"A0A8V8TPQ8; Q92542; A0A8V8TPR8; B4DR82","","Schizophrenias",0,1,"NA-NA"
"NDST3",2,0.6,0.6,"ENSG00000164100",9348,"O95803","","Bipolar Disorders; Schizophrenias",3,0.5,"2013-2014"
"NDUFS1",1,0.6,0.6,"ENSG00000023228",4719,"P28331; E5KRK5","Enzyme","Schizophrenias",1,1,"2006-2006"
"NDUFV1",2,0.6,0.6,"ENSG00000167792",4723,"P49821; E5KNH5","","Bipolar Disorders; Schizophrenias",2,1,"2007-2008"
"NEK4",1,0.6,0.6,"ENSG00000114904",6787,"Q05DF6; P51957","Kinase","Bipolar Disorders",2,1,"2011-2014"
"NEUROG1",1,0.6,0.6,"ENSG00000181965",4762,"Q92886; F1T0H3","Enzyme","Schizophrenias",2,1,"2007-2008"
"NNMT",2,0.6,0.6,"ENSG00000166741",4837,"B0YJ53; P40261","Enzyme","Bipolar Disorders; Schizophrenias",3,1,"2012-2014"
"NPTN",1,0.6,0.6,"ENSG00000156642",27020,"Q9Y639","Receptor","Schizophrenias",1,1,"2007-2007"
"NQO2",1,0.6,0.6,"ENSG00000124588",4835,"Q5TD07; B3KPX6; P16083","","Schizophrenias",1,1,"2003-2003"
"NRCAM",1,0.6,0.6,"ENSG00000091129",4897,"C9JYY6; B7Z670; Q14CA1; Q92823","","Childhood autism",2,0.75,"2006-2009"
"NRN1",1,0.6,0.6,"ENSG00000124785",51299,"A0A087WWT2; Q9NPD7","","Schizophrenias",1,1,"2010-2010"
"NRP2",1,0.6,0.6,"ENSG00000118257",8828,"Q7Z3T9; O60462","","Childhood autism",1,1,"2007-2007"
"NTF4",1,0.6,0.6,"ENSG00000225950",4909,"P34130","Signaling","Childhood autism",2,1,"2001-2006"
"PAH",1,0.6,0.6,"ENSG00000171759",5053,"P00439","","Schizophrenias",2,0.75,"2009-2009"
"PEMT",1,0.6,0.6,"ENSG00000133027",10400,"Q9UBM1","","Schizophrenias",1,0.5,"2007-2007"
"PFKL",1,0.6,0.6,"ENSG00000141959",5211,"P17858; Q7L2M7","Kinase","Bipolar Disorders",5,1,"1995-2001"
"PGP",1,0.6,0.6,"ENSG00000184207",283871,"A6NDG6","Enzyme","Bipolar Disorders",2,1,"1993-1995"
"PHB1",1,0.6,0.6,"ENSG00000167085",5245,"Q53FV0; P35232; A8K401","","Schizophrenias",1,1,"2008-2008"
"PHETA1",1,0.6,0.6,"ENSG00000198324",144717,"Q8N4B1","","Bipolar Disorders",1,1,"2005-2005"
"PHOX2B",1,0.6,0.6,"ENSG00000109132",8929,"Q99453","","Schizophrenias",2,0.75,"2004-2011"
"PI4KA",1,0.6,0.6,"ENSG00000241973",5297,"B4DYG5; Q4LE69; P42356","Kinase","Schizophrenias",3,1,"2008-2014"
"PIK3C3",2,0.6,0.6,"ENSG00000078142",5289,"Q8NEB9; A8MYT4; B4DPV9","Kinase","Schizophrenias; Bipolar Disorders",4,0.9,"2004-2008"
"PINK1",1,0.6,0.6,"ENSG00000158828",65018,"Q9BXM7","Kinase","Schizophrenias",2,1,"2008-2008"
"PITX1",1,0.6,0.6,"ENSG00000069011",5307,"X5D9A5; P78337","","Childhood autism",1,1,"2007-2007"
"PLA2G2A",1,0.6,0.6,"ENSG00000188257",5320,"P14555","Enzyme","Bipolar Disorders",1,0.5,"2011-2011"
"PLA2G4A",3,0.6,0.7,"ENSG00000116711",5321,"P47712; B4DZI4","Enzyme","Schizophrenias; Bipolar Disorders; Childhood autism",6,0.777777777777778,"2004-2011"
"PLA2G4C",1,0.6,0.6,"ENSG00000105499",8605,"Q9UP65","Enzyme","Schizophrenias",1,1,"2005-2005"
"PLAA",1,0.6,0.6,"ENSG00000137055",9373,"Q9Y263","Enzyme modulator","Schizophrenias",1,1,"2010-2010"
"PLCG1",1,0.6,0.6,"ENSG00000124181",5335,"P19174; Q4LE43; Q9UFY1","Enzyme","Bipolar Disorders",1,1,"2001-2001"
"PLG",1,0.6,0.6,"ENSG00000122194",5340,"Q5TEH5; P00747","Enzyme","Schizophrenias",1,0.666666666666667,"2014-2014"
"PON1",4,0.6,0.6,"ENSG00000005421",5444,"P27169","","Schizophrenias; Bipolar Disorders; Depression; Childhood autism",7,0.729166666666667,"2005-2015"
"PPARD",1,0.6,0.6,"ENSG00000112033",5467,"F1D8S7; Q03181","Nuclear receptor","Bipolar Disorders",1,0.8,"2008-2008"
"PPIEL",1,0.6,0.6,"ENSG00000291129",728448,"","","Bipolar Disorders",1,1,"2008-2008"
"PPP2R2C",1,0.6,0.6,"ENSG00000074211",5522,"Q9Y2T4","Enzyme","Bipolar Disorders",2,0.5,"2011-2014"
"PRKCZ",1,0.6,0.6,"ENSG00000067606",5590,"Q05513","Kinase","Bipolar Disorders",1,1,"2012-2012"
"PRODH2",1,0.6,0.6,"ENSG00000250799",58510,"Q9UF12","","Schizophrenias",1,1,"2002-2002"
"PROKR2",1,0.6,0.6,"ENSG00000101292",128674,"Q8NFJ6; A8K1T0","G-protein coupled receptor","Bipolar Disorders",2,1,"2009-2010"
"PRSS16",1,0.6,0.6,"ENSG00000112812",10279,"F2Z2N5; Q9NQE7","Enzyme","Schizophrenias",1,0.666666666666667,"2012-2012"
"PSD",1,0.6,0.6,"ENSG00000059915",5662,"A5PKW4; Q86YI3","","Schizophrenias",1,1,"2006-2006"
"PSD3",1,0.6,0.6,"ENSG00000156011",23362,"Q9NYI0; B3KRC4","","Schizophrenias",1,1,"2011-2011"
"PSEN2",2,0.6,0.6,"ENSG00000143801",5664,"P49810","Enzyme","Bipolar Disorders; Schizophrenias",5,1,"2004-2013"
"PTGDS",1,0.6,0.6,"ENSG00000107317",5730,"P41222; A0A024R8G3","Enzyme","Bipolar Disorders",2,1,"2012-2014"
"PTPN4",1,0.6,0.6,"ENSG00000088179",5775,"P29074","","Childhood autism",1,1,"2021-2021"
"RACK1",1,0.6,0.6,"ENSG00000204628",10399,"E9KL35; P63244","","Bipolar Disorders",1,1,"2011-2011"
"RANBP9",1,0.6,0.6,"ENSG00000010017",10048,"Q96S59","Transporter","Schizophrenias",1,1,"2015-2015"
"RAPGEF4",1,0.6,0.6,"ENSG00000091428",11069,"B7Z278; Q8WZA2","Enzyme modulator","Childhood autism",0,1,"NA-NA"
"RARA",1,0.6,0.6,"ENSG00000131759",5914,"A8K840; A8MUP8; F1D8N9; P10276; Q6I9R7","Nuclear receptor","Schizophrenias",2,0.666666666666667,"2005-2013"
"RASD2",1,0.6,0.6,"ENSG00000100302",23551,"Q96D21","","Schizophrenias",2,0.75,"2008-2013"
"RB1CC1",1,0.6,0.6,"ENSG00000023287",9821,"Q8TDY2","","Schizophrenias",1,1,"2011-2011"
"RELA",1,0.6,0.6,"ENSG00000173039",5970,"A0A087X0W8; Q04206","Transcription factor","Schizophrenias",1,1,"2011-2011"
"RFX4",1,0.6,0.6,"ENSG00000111783",5992,"Q33E94","Transcription factor","Bipolar Disorders",2,1,"2005-2007"
"RGS2",1,0.6,0.6,"ENSG00000116741",5997,"P41220","Enzyme modulator","Schizophrenias",1,0.75,"2008-2008"
"RGS5",1,0.6,0.6,"ENSG00000143248",8490,"O15539","Enzyme modulator","Schizophrenias",1,0.5,"2008-2008"
"RHD",1,0.6,0.6,"ENSG00000187010",6007,"Q7RU08; B4DLT8; Q9UPC8; A0A1B1R0Y1; E7EVW1; Q02161; Q1KT12; Q5XLT0; Q5XLS8; Q5XLT3","","Schizophrenias",3,1,"2002-2008"
"ROBO1",1,0.6,0.6,"ENSG00000169855",6091,"Q1RMC8; Q9Y6N7","","Childhood autism",1,1,"2008-2008"
"ROBO2",1,0.6,0.6,"ENSG00000185008",6092,"F8W703; Q9HCK4","","Childhood autism",1,1,"2008-2008"
"SAT1",1,0.6,0.6,"ENSG00000130066",6303,"A0A384NQ10; P21673","","Bipolar Disorders",2,1,"2013-2013"
"SCAMP5",1,0.6,0.6,"ENSG00000198794",192683,"A0A0A8K8F5; Q8TAC9","Enzyme","Childhood autism",1,1,"2010-2010"
"SELP",1,0.6,0.6,"ENSG00000174175",6403,"Q6NUL9; Q5R341; P16109","","Depression",1,0.75,"2014-2014"
"SERPINE1",1,0.6,0.6,"ENSG00000106366",5054,"P05121","Enzyme modulator","Childhood autism",1,1,"2008-2008"
"SERPINI1",1,0.6,0.6,"ENSG00000163536",5274,"Q99574; A0A0S2Z455","Enzyme modulator","Schizophrenias",1,0.5,"2004-2004"
"SHH",1,0.6,0.6,"ENSG00000164690",6469,"Q15465","","Childhood autism",1,1,"2021-2021"
"SIGMAR1",1,0.6,0.6,"ENSG00000147955",10280,"B4DR71; A2A3U5; A0A7P0Z4C2; A0A7P0T9D5; Q99720","","Schizophrenias",2,0.6,"2009-2011"
"SIN3A",1,0.6,0.6,"ENSG00000169375",25942,"Q96ST3","Enzyme","Childhood autism",1,1,"2021-2021"
"SIRPB1",1,0.6,0.6,"ENSG00000101307",10326,"O00241; H9KV29; Q5TFQ8","Signaling","Schizophrenias",2,1,"2013-2014"
"SLC12A6",1,0.6,0.6,"ENSG00000140199",9990,"Q9UHW9; Q6NSI7","Transporter","Bipolar Disorders",3,1,"2005-2009"
"SLC19A1",1,0.6,0.6,"ENSG00000173638",6573,"P41440","Transporter","Childhood autism",2,1,"2006-2010"
"SLC1A1",3,0.6,0.75,"ENSG00000106688",6505,"P43005","Transporter","Schizophrenias; Depression; Bipolar Disorders",2,0.916666666666667,"NA-NA"
"SLC23A3",1,0.6,0.6,"ENSG00000213901",151295,"Q6PIS1; B7Z508","Transporter","Schizophrenias",1,0.5,"2013-2013"
"SLC30A3",1,0.6,0.6,"ENSG00000115194",7781,"Q99726; B4DXX8","Transporter","Schizophrenias",1,1,"2014-2014"
