"gene_symbol","geneid","ensemblid","geneNcbiType","uniprotids","protein_class_name","disease_name","diseaseType","diseaseUMLSCUI","score","yearInitial","yearFinal","numPMIDs","evidence_index"
"CRY1",1407,"ENSG00000008405","protein-coding","A2I2P0; Q16526","Enzyme","Depression","disease","C0011570",0.6,2012,2012,1,0.666666666666667
"CRY2",1408,"ENSG00000121671","protein-coding","A0A0D2X7Z3; Q49AN0; A2I2P1","Enzyme","Depression","disease","C0011570",0.6,2010,2012,3,0.8
"DTNBP1",84062,"ENSG00000047579","protein-coding","A6NFV8; Q96EV8; D6RJC6; A0A087WYP9; A0A0S2Z5U8","","Depression","disease","C0011570",0.6,2008,2013,4,0.8
"LGI1",9211,"ENSG00000108231","protein-coding","A0A0S2Z4S7; A0A0S2Z4X3; O95970; A0A0S2Z5G1; A0A1B0GUD3","","Depression","disease","C0011570",0.6,2010,2010,1,1
"GABRB3",2562,"ENSG00000166206","protein-coding","X5DQY4; P28472; B2RCW8","Ion channel","Depression","disease","C0011570",0.6,2001,2012,5,1
"GSTM1",2944,"ENSG00000134184","protein-coding","P09488; X5DR03; X5D932","","Depression","disease","C0011570",0.6,1992,2012,3,1
"MTR",4548,"ENSG00000116984","protein-coding","Q99707","","Depression","disease","C0011570",0.6,1987,2008,2,1
"AHI1-DT",100131814,"ENSG00000231028","ncRNA","","","Schizophrenias","disease","C0036341",0.6,2006,2010,2,1
"CACNG2",10369,"ENSG00000166862","protein-coding","Q9Y698","Ion channel","Schizophrenias","disease","C0036341",0.6,2008,2013,2,0.6
"B3GNT2",10678,"ENSG00000170340","protein-coding","Q9NY97","Enzyme","Schizophrenias","disease","C0036341",0.6,2013,2013,1,0.5
"CHAT",1103,"ENSG00000070748","protein-coding","P28329; Q6LEN6; Q6LEN5","Enzyme","Schizophrenias","disease","C0036341",0.6,2005,2007,2,0.8
"CHGB",1114,"ENSG00000089199","protein-coding","P05060","","Schizophrenias","disease","C0036341",0.6,2002,2007,3,0.8
"ACSM1",116285,"ENSG00000166743","protein-coding","Q08AH1; B2RAP4","Enzyme","Schizophrenias","disease","C0036341",0.6,2010,2015,2,1
"CLU",1191,"ENSG00000120885","protein-coding","P10909","","Schizophrenias","disease","C0036341",0.6,2010,2010,1,0.666666666666667
"CP",1356,"ENSG00000047457","protein-coding","A5PL27; P00450","","Schizophrenias","disease","C0036341",0.6,2006,2006,1,0.5
"CRMP1",1400,"ENSG00000072832","protein-coding","B3KT07; B3KV96; X5DNI1; Q96I11; Q14194; E9PD68","Enzyme","Schizophrenias","disease","C0036341",0.6,2012,2012,1,1
"SLC23A3",151295,"ENSG00000213901","protein-coding","Q6PIS1; B7Z508","Transporter","Schizophrenias","disease","C0036341",0.6,2013,2013,1,0.5
"EMX2",2018,"ENSG00000170370","protein-coding","Q04743","Transcription factor","Schizophrenias","disease","C0036341",0.6,2007,2007,1,1
"ALDH3B1",221,"ENSG00000006534","protein-coding","P43353; A0A087X2D4","","Schizophrenias","disease","C0036341",0.6,2005,2009,2,1
"DICER1",23405,"ENSG00000100697","protein-coding","Q9UPY3","Enzyme","Schizophrenias","disease","C0036341",0.6,2013,2013,2,1
"NPTN",27020,"ENSG00000156642","protein-coding","Q9Y639","Receptor","Schizophrenias","disease","C0036341",0.6,2007,2007,1,1
"CACNG5",27091,"ENSG00000075429","protein-coding","Q9UF02","Ion channel","Schizophrenias","disease","C0036341",0.6,2011,2011,1,1
"DKK4",27121,"ENSG00000104371","protein-coding","Q9UBT3","","Schizophrenias","disease","C0036341",0.6,2008,2008,1,1
"GNAO1",2775,"ENSG00000087258","protein-coding","Q8N6I9; B3KP89; Q6AWC5; P09471","Enzyme modulator","Schizophrenias","disease","C0036341",0.6,2004,2004,1,1
"GSTP1",2950,"ENSG00000084207","protein-coding","P09211; V9HWE9","","Schizophrenias","disease","C0036341",0.6,2014,2014,1,0.5
"HDAC2",3066,"ENSG00000196591","protein-coding","Q92769","Epigenetic regulator","Schizophrenias","disease","C0036341",0.6,2012,2012,1,0.25
"HK1",3098,"ENSG00000156515","protein-coding","Q59FD4; P78542; B3KXY9; A0A994J753; P19367; A8K7J7","Kinase","Schizophrenias","disease","C0036341",0.6,2014,2014,1,1
"HLA-E",3133,"ENSG00000204592","protein-coding","A0A4E9D3W4; A8K8M6; P13747; O19682","","Schizophrenias","disease","C0036341",0.6,2012,2014,4,1
"JARID2",3720,"ENSG00000008083","protein-coding","Q92833","Transcription factor","Schizophrenias","disease","C0036341",0.6,2007,2009,2,0.5
"KCNQ2",3785,"ENSG00000075043","protein-coding","O43526; Q53Y30","Ion channel","Schizophrenias","disease","C0036341",0.6,2008,2013,2,0.5
"LTA",4049,"ENSG00000226979","protein-coding","P01374; Q5STV3","","Schizophrenias","disease","C0036341",0.6,2003,2003,1,1
"ARHGEF11",9826,"ENSG00000132694","protein-coding","O15085","","Schizophrenias","disease","C0036341",0.6,2008,2014,2,1
"NDUFS1",4719,"ENSG00000023228","protein-coding","P28331; E5KRK5","Enzyme","Schizophrenias","disease","C0036341",0.6,2006,2006,1,1
"PIK3C3",5289,"ENSG00000078142","protein-coding","Q8NEB9; A8MYT4; B4DPV9","Kinase","Schizophrenias","disease","C0036341",0.6,2004,2008,3,0.8
"PI4KA",5297,"ENSG00000241973","protein-coding","B4DYG5; Q4LE69; P42356","Kinase","Schizophrenias","disease","C0036341",0.6,2008,2014,3,1
"FXYD6",53826,"ENSG00000137726","protein-coding","Q9H0Q3","Ion channel","Schizophrenias","disease","C0036341",0.6,2007,2011,2,0.5
"PON1",5444,"ENSG00000005421","protein-coding","P27169","","Schizophrenias","disease","C0036341",0.6,2008,2008,1,0.666666666666667
"ST6GALNAC1",55808,"ENSG00000070526","protein-coding","Q9NSC7","","Schizophrenias","disease","C0036341",0.6,2011,2011,1,1
"SLC7A10",56301,"ENSG00000130876","protein-coding","Q9NS82","Transporter","Schizophrenias","disease","C0036341",0.6,2008,2008,1,0.5
"XRCC4",7518,"ENSG00000152422","protein-coding","Q7Z763; Q13426","","Schizophrenias","disease","C0036341",0.6,2010,2010,1,1
"ZNF74",7625,"ENSG00000185252","protein-coding","Q05BG0; Q16587; A8K5P3","","Schizophrenias","disease","C0036341",0.6,2001,2001,1,1
"PIP4K2C",79837,"ENSG00000166908","protein-coding","B3KQV3; Q8TBX8","Kinase","Schizophrenias","disease","C0036341",0.6,2005,2006,2,1
"PLAA",9373,"ENSG00000137055","protein-coding","Q9Y263","Enzyme modulator","Schizophrenias","disease","C0036341",0.6,2010,2010,1,1
"HTR1D",3352,"ENSG00000179546","protein-coding","P28221","G-protein coupled receptor","Childhood autism","disease","C0004352",0.6,2009,2009,1,1
"VDR",7421,"ENSG00000111424","protein-coding","P11473; F1D8P8","Nuclear receptor","Bipolar Disorders","disease","C0005586",0.6,2012,2012,1,1
"ESR1",2099,"ENSG00000091831","protein-coding","A0A125SXW3; Q9UBT1; A8KAF4; H0Y4W6; P03372; G4XH65","Nuclear receptor","Bipolar Disorders","disease","C0005586",0.6,2000,2012,5,0.888888888888889
"ERVW-1",30816,"ENSG00000242950","protein-coding","D0EYG5; Q9UQF0","","Bipolar Disorders","disease","C0005586",0.6,2012,2012,1,0.6
"MIR432",574451,"ENSG00000272458","ncRNA","","","Schizophrenias","disease","C0036341",0.6,2015,2015,1,1
"BID",637,"ENSG00000015475","protein-coding","P55957; A8ASI8; B3KT21; B2ZP79","","Schizophrenias","disease","C0036341",0.6,2012,2012,1,1
"TPH1",7166,"ENSG00000129167","protein-coding","P17752","","Bipolar Disorders","disease","C0005586",0.6,2005,2012,4,0.75
"BORCS7",119032,"ENSG00000166275","protein-coding","A0A0B4J1R7; Q96B45","","Schizophrenias","disease","C0036341",0.6,2016,2016,1,0.333333333333333
"RGS2",5997,"ENSG00000116741","protein-coding","P41220","Enzyme modulator","Schizophrenias","disease","C0036341",0.6,2008,2008,1,0.75
"TAC1",6863,"ENSG00000006128","protein-coding","Q9Y494; P20366","","Bipolar Disorders","disease","C0005586",0.6,2005,2005,1,0.75
"GRIK5",2901,"ENSG00000105737","protein-coding","Q16478","Ion channel","Schizophrenias","disease","C0036341",0.6,2008,2008,1,0.666666666666667
"HCG9",10255,"ENSG00000204625","ncRNA","","","Bipolar Disorders","disease","C0005586",0.6,2012,2014,2,1
"CRY2",1408,"ENSG00000121671","protein-coding","A2I2P1; A0A0D2X7Z3; Q49AN0","Enzyme","Bipolar Disorders","disease","C0005586",0.6,2006,2012,4,0.875
"CTLA4",1493,"ENSG00000163599","protein-coding","P16410","","Bipolar Disorders","disease","C0005586",0.6,2004,2011,2,1
"DBN1",1627,"ENSG00000113758","protein-coding","Q16643","Cellular structure","Bipolar Disorders","disease","C0005586",0.6,2012,2012,1,1
"FABP7",2173,"ENSG00000164434","protein-coding","A0A077H155; Q59HE4; O15540","","Bipolar Disorders","disease","C0005586",0.6,2010,2010,2,1
"GABRB3",2562,"ENSG00000166206","protein-coding","X5DQY4; P28472; B2RCW8","Ion channel","Bipolar Disorders","disease","C0005586",0.6,2001,2010,2,1
"GRM4",2914,"ENSG00000124493","protein-coding","A8K0J8; Q14833; B7ZLU9; A1L4F9","G-protein coupled receptor","Bipolar Disorders","disease","C0005586",0.6,2005,2007,2,1
"GSTM1",2944,"ENSG00000134184","protein-coding","X5D932; P09488; X5DR03","","Bipolar Disorders","disease","C0005586",0.6,2011,2012,2,0.666666666666667
"GSTT1",2952,"","protein-coding","A0A0G2JRN4; A0A0G2JRQ5; Q4GZS9; Q4W251; P30711","","Bipolar Disorders","disease","C0005586",0.6,2011,2011,1,0.5
"HLA-E",3133,"ENSG00000204592","protein-coding","A0A4E9D3W4; P13747; O19682; A8K8M6","","Bipolar Disorders","disease","C0005586",0.6,2011,2011,1,1
"HSPA5",3309,"ENSG00000044574","protein-coding","V9HWB4; P11021","","Bipolar Disorders","disease","C0005586",0.6,2005,2005,1,1
"DNAJB1",3337,"ENSG00000132002","protein-coding","P25685; Q6FHS4","","Bipolar Disorders","disease","C0005586",0.6,2004,2004,2,1
"IL1RN",3557,"ENSG00000136689","protein-coding","P18510","","Bipolar Disorders","disease","C0005586",0.6,2004,2013,2,1
"KCNN3",3782,"ENSG00000143603","protein-coding","Q9UGI6; A0A087WYJ0","Ion channel","Bipolar Disorders","disease","C0005586",0.6,2001,2004,4,0.714285714285714
"MC2R",4158,"ENSG00000185231","protein-coding","Q01718","G-protein coupled receptor","Bipolar Disorders","disease","C0005586",0.6,1995,1997,2,1
"MMP9",4318,"ENSG00000100985","protein-coding","P14780","Enzyme","Bipolar Disorders","disease","C0005586",0.6,2009,2009,1,1
"NDUFV1",4723,"ENSG00000167792","protein-coding","P49821; E5KNH5","","Bipolar Disorders","disease","C0005586",0.6,2008,2008,1,1
"NOTCH4",4855,"ENSG00000204301","protein-coding","Q99466; A0A1U9X983","","Bipolar Disorders","disease","C0005586",0.6,2002,2012,3,0.75
"NR4A2",4929,"ENSG00000153234","protein-coding","Q53EL4; P43354; F1D8N6","Nuclear receptor","Bipolar Disorders","disease","C0005586",0.6,2006,2006,1,1
"PLA2G1B",5319,"ENSG00000170890","protein-coding","P04054","Enzyme","Bipolar Disorders","disease","C0005586",0.6,1995,2003,3,0.666666666666667
"PON1",5444,"ENSG00000005421","protein-coding","P27169","","Bipolar Disorders","disease","C0005586",0.6,2014,2015,2,1
"PPP2R2C",5522,"ENSG00000074211","protein-coding","Q9Y2T4","Enzyme","Bipolar Disorders","disease","C0005586",0.6,2011,2014,2,0.5
"BMAL2",56938,"ENSG00000029153","protein-coding","Q8WYA1","Transcription factor","Bipolar Disorders","disease","C0005586",0.6,2008,2010,2,1
"TGFB1",7040,"ENSG00000105329","protein-coding","A0A499FJK2; P01137","Signaling","Bipolar Disorders","disease","C0005586",0.6,2001,2001,1,0.8
"YWHAE",7531,"ENSG00000108953","protein-coding","V9HW98; P62258","Chaperone","Bipolar Disorders","disease","C0005586",0.6,2012,2012,1,0.666666666666667
"CACNA1A",773,"ENSG00000141837","protein-coding","O00555; B5TYJ1; Q9NS89; A0A087WW63","Ion channel","Bipolar Disorders","disease","C0005586",0.6,2010,2010,1,1
"NAPG",8774,"ENSG00000134265","protein-coding","Q99747; Q6FHY4","","Bipolar Disorders","disease","C0005586",0.6,2006,2009,3,1
"CHUK",1147,"ENSG00000213341","protein-coding","O15111","Kinase","Childhood autism","disease","C0004352",0.6,2011,2011,1,1
"DLX2",1746,"ENSG00000115844","protein-coding","X5D7D8; Q53QU7; Q07687","Transcription factor","Childhood autism","disease","C0004352",0.6,2009,2009,1,1
"SCAMP5",192683,"ENSG00000198794","protein-coding","A0A0A8K8F5; Q8TAC9","Enzyme","Childhood autism","disease","C0004352",0.6,2010,2010,1,1
"EGF",1950,"ENSG00000138798","protein-coding","P01133","","Childhood autism","disease","C0004352",0.6,2007,2007,1,0.833333333333333
"GAD1",2571,"ENSG00000128683","protein-coding","A0A0S2Z3V5; Q99259; Q8IVA8","Enzyme","Childhood autism","disease","C0004352",0.6,2008,2008,1,1
"IGF2",3481,"ENSG00000167244","protein-coding","E3UN46; P01344","","Childhood autism","disease","C0004352",0.6,2007,2007,1,1
"IL2",3558,"ENSG00000109471","protein-coding","P60568; Q0GK43","","Childhood autism","disease","C0004352",0.6,2006,2008,2,0.8
"ROBO1",6091,"ENSG00000169855","protein-coding","Q1RMC8; Q9Y6N7","","Childhood autism","disease","C0004352",0.6,2008,2008,1,1
"VLDLR",7436,"ENSG00000147852","protein-coding","A0A7P0T897; A0A7P0T9P7; P98155; Q5VVF5","","Childhood autism","disease","C0004352",0.6,2005,2005,1,1
"DOCK4",9732,"ENSG00000128512","protein-coding","Q8N1I0","","Childhood autism","disease","C0004352",0.6,2010,2010,1,0.714285714285714
"ADCY5",111,"ENSG00000173175","protein-coding","O95622; A0A384P5Q5; B7Z2C7; B3KWA8","","Depression","disease","C0011570",0.6,2010,2013,2,0.5
"SP1",6667,"ENSG00000185591","protein-coding","P08047","Nucleic acid binding","Schizophrenias","disease","C0036341",0.6,2007,2013,3,0.857142857142857
"AKR1C4",1109,"ENSG00000198610","protein-coding","P17516","Enzyme","Bipolar Disorders","disease","C0005586",0.6,2011,2012,2,1
"ADNP2",22850,"ENSG00000101544","protein-coding","Q6IQ32","","Schizophrenias","disease","C0036341",0.6,2011,2011,1,1
"TNIK",23043,"ENSG00000154310","protein-coding","Q9UKE5","Kinase","Schizophrenias","disease","C0036341",0.6,2011,2011,1,1
"ACSL6",23305,"ENSG00000164398","protein-coding","Q9UKU0; B4DFW3; B2RB13","Enzyme","Schizophrenias","disease","C0036341",0.6,2006,2008,2,1
"LHX6",26468,"ENSG00000106852","protein-coding","Q9UPM6","Nucleic acid binding","Schizophrenias","disease","C0036341",0.6,2012,2012,2,0.6
"B3GAT1",27087,"ENSG00000109956","protein-coding","Q9P2W7","Enzyme","Schizophrenias","disease","C0036341",0.6,2011,2011,1,0.8
"GNAL",2774,"ENSG00000141404","protein-coding","P38405; A8K1Y9","Enzyme modulator","Schizophrenias","disease","C0036341",0.6,2001,2001,1,1
"HTR3E",285242,"ENSG00000186038","protein-coding","A5X5Y0","Ion channel","Schizophrenias","disease","C0036341",0.6,2009,2009,1,1
"HTR4",3360,"ENSG00000164270","protein-coding","A0A2D3FAF9; Q13639","G-protein coupled receptor","Schizophrenias","disease","C0036341",0.6,2003,2003,1,0.666666666666667
"IDE",3416,"ENSG00000119912","protein-coding","B3KSB8; A0A7I2V2P6; P14735; A0A3B3ISG5","Enzyme","Schizophrenias","disease","C0036341",0.6,2009,2009,1,1
"FAS",355,"ENSG00000026103","protein-coding","K9J972; P25445; Q59FU8","","Schizophrenias","disease","C0036341",0.6,2012,2012,1,1
"LPL",4023,"ENSG00000175445","protein-coding","A0A1B1RVA9; P06858","Enzyme","Schizophrenias","disease","C0036341",0.6,2011,2011,1,1
"SIRPB1",10326,"ENSG00000101307","protein-coding","O00241; H9KV29; Q5TFQ8","Signaling","Schizophrenias","disease","C0036341",0.6,2013,2014,2,1
"CSMD2",114784,"ENSG00000121904","protein-coding","Q7Z408","","Schizophrenias","disease","C0036341",0.6,2011,2011,1,1
"NCAN",1463,"ENSG00000130287","protein-coding","Q4LE67; O14594","Extracellular structure","Schizophrenias","disease","C0036341",0.6,2012,2015,3,0.888888888888889
"CTLA4",1493,"ENSG00000163599","protein-coding","P16410","","Schizophrenias","disease","C0036341",0.6,2002,2013,3,0.75
"DLG3",1741,"ENSG00000082458","protein-coding","Q92796; Q59FY1","","Schizophrenias","disease","C0036341",0.6,2004,2005,2,0.8
"DLX1",1745,"ENSG00000144355","protein-coding","X5D2F9; P56177","Transcription factor","Schizophrenias","disease","C0036341",0.6,2003,2003,1,1
"DNM1",1759,"ENSG00000106976","protein-coding","Q05193; B4DK06; B7ZAC0","Enzyme modulator","Schizophrenias","disease","C0036341",0.6,2013,2013,1,1
"EFNB2",1948,"ENSG00000125266","protein-coding","P52799","Signaling","Schizophrenias","disease","C0036341",0.6,2010,2010,1,1
"PINK1",65018,"ENSG00000158828","protein-coding","Q9BXM7","Kinase","Schizophrenias","disease","C0036341",0.6,2008,2008,2,1
"SLC6A12",6539,"ENSG00000111181","protein-coding","P48065","Transporter","Schizophrenias","disease","C0036341",0.6,2011,2014,3,1
"TGM2",7052,"ENSG00000198959","protein-coding","B4DIT7; P21980; V9HWG3; B4DTN7","Enzyme","Schizophrenias","disease","C0036341",0.6,2009,2011,2,1
"TYR",7299,"ENSG00000077498","protein-coding","L8B082; P14679","Enzyme","Schizophrenias","disease","C0036341",0.6,2001,2001,1,1
"DGCR6",8214,"ENSG00000183628","protein-coding","X5D7D2; Q14129","","Schizophrenias","disease","C0036341",0.6,2002,2002,1,1
"CASP3",836,"ENSG00000164305","protein-coding","P42574","Enzyme","Schizophrenias","disease","C0036341",0.6,2010,2010,1,0.833333333333333
"RGS5",8490,"ENSG00000143248","protein-coding","O15539","Enzyme modulator","Schizophrenias","disease","C0036341",0.6,2008,2008,1,0.5
"CBS",875,"ENSG00000160200","protein-coding","P35520; B7Z2D6; Q9NTF0","Enzyme","Schizophrenias","disease","C0036341",0.6,2009,2009,1,1
"ASAH1",427,"ENSG00000104763","protein-coding","A8K0B6; Q13510; Q53H01","Enzyme","Schizophrenias","disease","C0036341",0.6,2012,2012,1,1
"MIR326",442900,"ENSG00000199090","ncRNA","","","Schizophrenias","disease","C0036341",0.6,2014,2014,1,1
"MTNR1A",4543,"ENSG00000168412","protein-coding","P48039","G-protein coupled receptor","Schizophrenias","disease","C0036341",0.6,2011,2011,1,1
"MYO9B",4650,"ENSG00000099331","protein-coding","B0I1T6; Q8WVD2; Q13459; Q4LE74","","Schizophrenias","disease","C0036341",0.6,2008,2008,1,1
"NDUFV2",4729,"ENSG00000178127","protein-coding","P19404","","Schizophrenias","disease","C0036341",0.6,2009,2009,1,1
"NEUROG1",4762,"ENSG00000181965","protein-coding","Q92886; F1T0H3","Enzyme","Schizophrenias","disease","C0036341",0.6,2007,2008,2,1
"NNMT",4837,"ENSG00000166741","protein-coding","P40261; B0YJ53","Enzyme","Schizophrenias","disease","C0036341",0.6,2012,2014,2,1
"SERPINI1",5274,"ENSG00000163536","protein-coding","Q99574; A0A0S2Z455","Enzyme modulator","Schizophrenias","disease","C0036341",0.6,2004,2004,1,0.5
"ACTB",60,"ENSG00000075624","protein-coding","Q1KLZ0; P60709","Cellular structure","Schizophrenias","disease","C0036341",0.6,2012,2012,1,1
"RHD",6007,"ENSG00000187010","protein-coding","Q7RU08; B4DLT8; Q9UPC8; A0A1B1R0Y1; E7EVW1; Q02161; Q1KT12; Q5XLT0; Q5XLS8; Q5XLT3","","Schizophrenias","disease","C0036341",0.6,2002,2008,3,1
"MAPK1",5594,"ENSG00000100030","protein-coding","Q1HBJ4; Q499G7; P28482","Kinase","Schizophrenias","disease","C0036341",0.6,2004,2004,1,0.8
"PON1",5444,"ENSG00000005421","protein-coding","P27169","","Depression","disease","C0011570",0.6,2009,2009,1,1
"RELA",5970,"ENSG00000173039","protein-coding","A0A087X0W8; Q04206","Transcription factor","Schizophrenias","disease","C0036341",0.6,2011,2011,1,1
"RACK1",10399,"ENSG00000204628","protein-coding","E9KL35; P63244","","Bipolar Disorders","disease","C0005586",0.6,2011,2011,1,1
"HTR3B",9177,"ENSG00000149305","protein-coding","O95264","Ion channel","Schizophrenias","disease","C0036341",0.6,2010,2010,1,0.833333333333333
"ADM",133,"ENSG00000148926","protein-coding","P35318","Signaling","Childhood autism","disease","C0004352",0.6,2003,2003,1,1
"TSNAX",7257,"ENSG00000116918","protein-coding","Q99598","","Bipolar Disorders","disease","C0005586",0.6,2005,2011,3,0.6
"ANKK1",255239,"ENSG00000170209","protein-coding","Q8NFD2","Kinase","Depression","disease","C0011570",0.6,2011,2013,2,1
"HSPA9",3313,"ENSG00000113013","protein-coding","P38646; A0A384P5G6","","Schizophrenias","disease","C0036341",0.6,2013,2013,1,1
"MAOB",4129,"ENSG00000069535","protein-coding","B7Z242; P27338","","Bipolar Disorders","disease","C0005586",0.6,1997,2000,2,0.6
"PLA2G4C",8605,"ENSG00000105499","protein-coding","Q9UP65","Enzyme","Schizophrenias","disease","C0036341",0.6,2005,2005,1,1
"DLX1",1745,"ENSG00000144355","protein-coding","P56177; X5D2F9","Transcription factor","Childhood autism","disease","C0004352",0.6,2009,2009,1,1
"STK39",27347,"ENSG00000198648","protein-coding","Q9UEW8","Kinase","Childhood autism","disease","C0004352",0.6,2008,2008,1,1
"NTF3",4908,"ENSG00000185652","protein-coding","P20783","Signaling","Childhood autism","disease","C0004352",0.6,2006,2006,1,0.5
"ROBO2",6092,"ENSG00000185008","protein-coding","F8W703; Q9HCK4","","Childhood autism","disease","C0004352",0.6,2008,2008,1,1
"IMMP2L",83943,"ENSG00000184903","protein-coding","Q96T52; A4D0S9","","Childhood autism","disease","C0004352",0.6,2010,2010,1,0.857142857142857
"NRP2",8828,"ENSG00000118257","protein-coding","Q7Z3T9; O60462","","Childhood autism","disease","C0004352",0.6,2007,2007,1,1
"CACNA1H",8912,"ENSG00000196557","protein-coding","A0A1W2PQW2; B3KQH9; O95180","Ion channel","Childhood autism","disease","C0004352",0.6,2006,2006,1,1
"HCAR3",8843,"ENSG00000255398","protein-coding","P49019","G-protein coupled receptor","Bipolar Disorders","disease","C0005586",0.6,2008,2009,2,1
"CDH17",1015,"ENSG00000079112","protein-coding","Q12864","","Bipolar Disorders","disease","C0005586",0.6,2006,2008,2,0.833333333333333
"PHETA1",144717,"ENSG00000198324","protein-coding","Q8N4B1","","Bipolar Disorders","disease","C0005586",0.6,2005,2005,1,1
"ADRB2",154,"ENSG00000169252","protein-coding","X5DQM5; P07550","G-protein coupled receptor","Bipolar Disorders","disease","C0005586",0.6,2012,2012,1,1
"ACE",1636,"ENSG00000159640","protein-coding","P12821; B4DKH4","Enzyme","Bipolar Disorders","disease","C0005586",0.6,2010,2011,2,0.75
"AGT",183,"ENSG00000135744","protein-coding","P01019; B0ZBE2; B2R5S1","Enzyme modulator","Bipolar Disorders","disease","C0005586",0.6,2000,2008,2,1
"DUSP6",1848,"ENSG00000139318","protein-coding","Q16828; Q53GP9","","Bipolar Disorders","disease","C0005586",0.6,2000,2007,2,0.666666666666667
"ALDH2",217,"ENSG00000111275","protein-coding","A0A384NPN7; P05091","Enzyme","Bipolar Disorders","disease","C0005586",0.6,2010,2010,1,1
"CUX2",23316,"ENSG00000111249","protein-coding","O14529","Transcription factor","Bipolar Disorders","disease","C0005586",0.6,2005,2005,1,0.666666666666667
"GNAL",2774,"ENSG00000141404","protein-coding","A8K1Y9; P38405","Enzyme modulator","Bipolar Disorders","disease","C0005586",0.6,2000,2000,1,1
"HSPA4",3308,"ENSG00000170606","protein-coding","P34932","","Bipolar Disorders","disease","C0005586",0.6,2009,2013,2,1
"HTR3A",3359,"ENSG00000166736","protein-coding","B4E398; P46098","Ion channel","Bipolar Disorders","disease","C0005586",0.6,2001,2012,2,0.75
"HTR5A",3361,"ENSG00000157219","protein-coding","P47898; A4D2N2","G-protein coupled receptor","Bipolar Disorders","disease","C0005586",0.6,2001,2009,2,1
"APOE",348,"ENSG00000130203","protein-coding","P02649; A0A0S2Z3D5","","Bipolar Disorders","disease","C0005586",0.6,2010,2010,1,0.666666666666667
"MIR212",406994,"ENSG00000267195","ncRNA","","","Bipolar Disorders","disease","C0005586",0.6,2013,2013,1,1
"NGF",4803,"ENSG00000134259","protein-coding","P01138; A0A346FYQ1","Signaling","Bipolar Disorders","disease","C0005586",0.6,NA,NA,0,0.875
"NPAS2",4862,"ENSG00000170485","protein-coding","Q99743; A2I2P5","","Bipolar Disorders","disease","C0005586",0.6,2006,2014,5,1
"PLCG1",5335,"ENSG00000124181","protein-coding","P19174; Q4LE43; Q9UFY1","Enzyme","Bipolar Disorders","disease","C0005586",0.6,2001,2001,1,1
"PPP3CC",5533,"ENSG00000120910","protein-coding","P48454","","Bipolar Disorders","disease","C0005586",0.6,2009,2009,1,1
"PRKCZ",5590,"ENSG00000067606","protein-coding","Q05513","Kinase","Bipolar Disorders","disease","C0005586",0.6,2012,2012,1,1
"PRODH",5625,"ENSG00000100033","protein-coding","O43272","Enzyme","Bipolar Disorders","disease","C0005586",0.6,2006,2006,1,1
"PSEN2",5664,"ENSG00000143801","protein-coding","P49810","Enzyme","Bipolar Disorders","disease","C0005586",0.6,2004,2010,2,1
"CHMP1B",57132,"ENSG00000255112","protein-coding","Q7LBR1","Transporter","Bipolar Disorders","disease","C0005586",0.6,2007,2007,1,0.5
"PTGDS",5730,"ENSG00000107317","protein-coding","P41222; A0A024R8G3","Enzyme","Bipolar Disorders","disease","C0005586",0.6,2012,2014,2,1
"BDKRB2",624,"ENSG00000168398","protein-coding","P30411","G-protein coupled receptor","Bipolar Disorders","disease","C0005586",0.6,2009,2009,1,1
"TLR2",7097,"ENSG00000137462","protein-coding","B3KWR9; O60603; A0A0S2Z4S4","","Bipolar Disorders","disease","C0005586",0.6,2014,2014,1,1
"VIP",7432,"ENSG00000146469","protein-coding","P01282","","Bipolar Disorders","disease","C0005586",0.6,2010,2014,2,1
"CTNND2",1501,"ENSG00000169862","protein-coding","E7EPC8; Q9UQB3; B4DRK2; B4DJU1","Cellular structure","Anxiety Disorder","disease","C0003469",0.6,NA,NA,0,0.5
"SERPINA1",5265,"ENSG00000197249","protein-coding","P01009; E9KL23","Enzyme modulator","Anxiety Disorder","disease","C0003469",0.6,2007,2007,1,1
"WFS1",7466,"ENSG00000109501","protein-coding","O76024; A0A0S2Z4V6","","Depression","disease","C0011570",0.6,2001,2005,2,0.8
"GABRA6",2559,"ENSG00000145863","protein-coding","Q16445","Ion channel","Depression","disease","C0011570",0.6,2006,2006,1,0.5
"EGR3",1960,"ENSG00000179388","protein-coding","Q06889; B4DH80","Nucleic acid binding","Depression","disease","C0011570",0.6,2009,2009,1,1
"SLIT3",6586,"ENSG00000184347","protein-coding","O75094","","Schizophrenias","disease","C0036341",0.6,2004,2004,1,1
"SYN1",6853,"ENSG00000008056","protein-coding","P17600","Cellular structure","Schizophrenias","disease","C0036341",0.6,2010,2012,2,1
"TAP2",6891,"ENSG00000204267","protein-coding","Q5JNW1; Q9UP03; X5CMH5; Q03519","Transporter","Schizophrenias","disease","C0036341",0.6,2014,2014,1,0.5
"TDO2",6999,"ENSG00000151790","protein-coding","P48775","Enzyme","Schizophrenias","disease","C0036341",0.6,2006,2006,1,0.5
"TPT1",7178,"ENSG00000133112","protein-coding","A0A0B4J2C3; A0A0P1J1R0; P13693","Cellular structure","Schizophrenias","disease","C0036341",0.6,2003,2003,1,1
"UCP2",7351,"ENSG00000175567","protein-coding","P55851","Transporter","Schizophrenias","disease","C0036341",0.6,2007,2011,2,0.333333333333333
